"","project_id","project_name","project_bytes","project_MB"
"1",365872,"0201 Pilot nearshore habitat mapping using acoustic and visual techniques",1997854323,1905.3023557663
"2",367633,"0202 Application of new sonar technology to reducing salmon bycatch in pollock fisheries",2743505,2.61641025543213
"3",370289,"0203 Continuation of long-term observations on Bering Sea shelf: biophysical moorings at sites 2 and 4",2826467,2.69552898406982
"4",367646,"0204 North Pacific Anadromous Fish Commission Salmon Tagging",3253727,3.10299587249756
"5",368673,"0205 Genetic stock identification of western Alaska sockeye salmon",11669166,11.1285839080811
"6",368682,"0206 Integration of marine bird and mammal observations with the continuous plankton recorder program",4381671,4.17868709564209
"7",366592,"0207 Detecting change in the Bering Sea ecosystem",15738108,15.0090293884277
"8",368695,"0208 Environmental cues for herring spawning",346295108,330.252750396729
"9",367610,"0209 Two species of rougheye rockfishes in the northern Gulf of Alaska",32814667,31.2945051193237
"10",367626,"0210 Nutritional quality of Alaskan fish for predators",80542,0.0768108367919922
"11",366876,"0211 Sinking particles/pelagic food webs in the SE Bering Sea",433946,0.413843154907227
"12",367581,"0301 Evaluation of emergent structure in low-relief benthic habitats as a criterion for defining the essential fish habitat of juvenile North Pacific flatfishes",6214012,5.92614364624023
"13",366511,"0302 A continuous plankton recorder survey of the North Pacific and southern Bering Sea",875737,0.83516788482666
"14",366835,"0303 North Pacific Anadromous Fish Commission Cooperative Research: Use of genetic stock identification to determine the distribution, migration, early marine survival, and relative stock abundance of sockeye and chum salmon in the Bering Sea",61753006,58.8922557830811
"15",367700,"0304 Deep sea coral distribution and habitat in the Aleutian Archipelago",154551801,147.39208316803
"16",367529,"0305 Monitoring and modeling predator-prey relationships",58180910,55.4856395721436
"17",367731,"0306 Species identity and life history of Hematodinium, the causative agent of bitter crab syndrome in Northeast Pacific snow (opilio) and Tanner (bairdi) crabs",2251712,2.14739990234375
"18",367545,"0307 Bering Sea right whales: ongoing research and public outreach",567997,0.541684150695801
"19",367766,"0308 Forage fishes in the western Gulf of Alaska: variation in productivity",340387405,324.618725776672
"20",367784,"0309 Sperm whale and longline fisheries interactions in the Gulf of Alaska",303735,0.289664268493652
"21",367555,"0310 Estuaries as essential fish habitat for salmonids: assessing residence time and habitat use of coho and sockeye salmon in Alaska estuaries",8737886,8.33309745788574
"22",367572,"0311 Establishing a statewide data warehouse of salmon size, age and growth records",668628,0.637653350830078
"23",368471,"0312 Ice seal bio-monitoring in the Bering-Chukchi Sea region",1706132,1.62709426879883
"24",367511,"0313 Effects of prey availability and predation risk on the foraging ecology and demography of harbor seals in Prince William Sound: development and test of a dynamic state variable model",2827040567,2696.07598018646
"25",367492,"0314 Thermal habitat preferences of Pacific halibut and the potential influence of hydrographic variability on a local coastal fishery",117893119,112.431639671326
"26",372223,"0315 Continuation of long-term observations on the Bering Sea shelf: Biophysical moorings at sites 2 and 4",2845029,2.71323108673096
"27",368508,"0316 Essential fish habitat for blue king crab, Phase 1: Development of cultivation techniques for blue king crab larvae",60098,0.0573139190673828
"28",372207,"0317 Pre-season forecast of Bristol Bay sockeye salmon migration timing based on oceanographic and biological variables",1256651,1.19843578338623
"29",366461,"0318 Pilot project for development of comprehensive baseline commercial fishing community engagement and dependency profiles for the Bering Sea, Aleutian Islands, and Western Gulf of Alaska regions",18675642360,17810.4804611206
"30",372253,"0319 Retrospective study of pigmented macrophage aggregates as markers of Pacific herring population health",3672771,3.5026273727417
"31",367463,"0320 Regime forcing and ecosystem response in the Bering Sea (ReFER): Phase II",43819845,41.7898607254028
"32",368419,"0321 Evaluation of alternative hypotheses to explain the collapse of the Kvichak sockeye salmon: a project to catalyze a comprehensive, hypotheses-driven research program",4636393,4.42160892486572
"33",367863,"0322 Spatial and temporal interactions between endangered short-tailed albatrosses and North Pacific commercial fisheries",2465338,2.35112953186035
"34",368437,"0324 Bering Sea wintering grounds of beluga whales",2452077,2.33848285675049
"35",365899,"0325 Video monitoring aboard Bering Sea factory trawlers - a pilot study",2368238,2.2585277557373
"36",367480,"0326 Enhancing rural high school involvement in North Pacific resource issues through participation in Alaska Regional National Ocean Sciences Bowl",2997476,2.85861587524414
"37",366467,"0327 Early marine ecology of juvenile chum salmon in Kuskokwim Bay, Alaska",3447928,3.28820037841797
"38",367389,"0401 Survey strategies for assessment of Bering Sea forage species",66081655139,63020.3772916794
"39",367853,"0402 Evaluation of ocean circulation models for the Bering Sea and Aleutian Islands Region",253416,0.241676330566406
"40",367429,"0403 Building an education and outreach program for the North Pacific Research Board",133206,0.127035140991211
"41",367440,"0404 Alaska Marine Information System",2977004,2.83909225463867
"42",367313,"0406 Synthesis of marine biology and oceanography of southeast Alaska",1435200,1.36871337890625
"43",368460,"0407 Kelp-grazer interactions in Kachemak Bay, Alaska: grazing activity, chemical defenses and resource allocation",861805,0.821881294250488
"44",367367,"0409 Integration of marine bird and mammal observations with the Pacific continuous plankton recorder (CPR) program: temporal variability in ecosystem structure across three basins",1180195677,1125.52230548859
"45",370330,"0410 Long-term observations on the Bering Sea shelf (2004-2005): biophysical moorings at sites 2 and 4 as sentinels for ecosystem change",7364457,7.02329349517822
"46",367266,"0411 Investigations into dietary specialization of killer whales in the Bering Sea and Aleutian Islands",6540414,6.23742485046387
