Project:ID,Project:Name,Project:Is archived,Project:Is public,Project:File count
281460,1212 Movement and wintering areas of Aleutian auklets (Aethia spp.),—,[object Object],329
372261,1226 Crowdsourcing large-scale environmental data recovery,—,[object Object],6
281515,1302 Bering-Chukchi transport pathways,—,[object Object],399
281524,1303 High through-put sequencing of Arctic benthic meiofauna,—,[object Object],314
281542,1305 Abundance and movement of Steller sea lion groundfish prey,—,[object Object],11
281551,1306 Connectivity of Prince William Sound Pacific cod to the GOA,—,[object Object],17
281560,1307 Scallop benthic communities,—,[object Object],1
281587,1310 LHX2,—,[object Object],5
281641,1320 Automated image processing of stero images,—,[object Object],1
281659,1322 Large-scale data recovery for the North Pacific - Arctic,—,[object Object],4
281668,1323 Graying of the fleet,—,[object Object],5
281677,1401 Improving stock assessments for rockfishes,—,[object Object],9
281687,1402 Red king crab larval advection in Bristol Bay,—,[object Object],103
281696,1403 Environmental effects on gadid eggs an larvae in Alaska,—,[object Object],11
281705,1404 Skate nursuries as unique habitats in the eastern Bering Sea,—,[object Object],26
281714,1405 Trophic interactions between jellyfish and fish,—,[object Object],17
281741,1408 Seabirds and Bering Sea ecological change,—,[object Object],1
281750,1409 Breeding/non-breeding foraging ecology of red-legged kittiwakes,—,[object Object],14
281759,1410 Looking into the Bering Sea's past through seabird feathers,—,[object Object],2
281768,1411 Influenza evolution in synanthropic gulls,—,[object Object],3
281777,1412 Yukon River patterns and trends,—,[object Object],15
281786,1413 Value of salmon,—,[object Object],33
281795,1414 Copper River salmon blitz,—,[object Object],4
281804,1415 Coastal community ocean observers (C2O2),—,[object Object],732
281822,1417 Using cell-cycle analysis to measure growth of fish larvae,—,[object Object],4
281831,1418 LHX2 sensor development,—,[object Object],2
281840,1419 Framework for mobile development of ZOOVIS and DIDSON,—,[object Object],92
281849,1420 Rescuing marine mammal specimens at the University of Alaska,—,[object Object],1
281858,1421 Historical sea ice mapping project,—,[object Object],3
281867,1422 AYK Chinook salmon egg thiamine exploration,—,[object Object],2
281876,1423 Defining critical periods for YK Chinook,—,[object Object],855
281885,1424 Fitness-based habitat models for Chinook salmon,—,[object Object],25
302403,1425 North Pacific CPR,—,[object Object],—
302408,Chukchi Ecosystem Observatory (CEO),—,[object Object],212338
302413,1427 Seward Line,—,[object Object],—
268977,1501 Acoustic assessment of euphausiid ('krill') abundance,—,[object Object],7
268979,1502 PWS Secondary Production,—,[object Object],1218
268981,1503 Tracing sea ice algae using IP25,—,[object Object],19
268983,1504 Chukchi Sea Ice Melt,—,[object Object],54
268985,1505 Cod size at age,—,[object Object],6
268987,1506 Crustacean Age Determination,—,[object Object],6
268989,1507 Combined bottom trawl and acoustic-trawl survey catchability,—,[object Object],112
268991,1508 Arctic Gadids in a Changing Climate,—,[object Object],205
268993,1509 Spatial response of northeast Pacific groundfish to anomalous warming in 2015,—,[object Object],20
268995,1510 Halibut survival for trawlers using alternative handling methods,—,[object Object],169
268997,1511 Bering Strait marine mammal acoustic monitoring,—,[object Object],200
268999,1512 Steller sea lion habitat modeling,—,[object Object],3
269001,1513 Protein and fat dynamics of polar bears,—,[object Object],5
269003,1514 Genetics of North Pacific bearded seals,—,[object Object],3
269005,1515 Glider based Arctic marine mammal monitoring,—,[object Object],4
269007,1516 Abundance of Bristol Bay beluga whales,—,[object Object],3
269009,1517 New methods for modeling seabird populations,—,[object Object],22
269011,1518 Effects of salinity on eider ducklings,—,[object Object],6
269013,1519 Social and ecological resilience in a Gulf of Alaska community,—,[object Object],39
269015,1520 Adaptation to Environmental Change in Three Aleutian Island Communities,—,[object Object],210
269017,"1521 Northern Alaska Sea Ice Project Jukebox, Phase II",—,[object Object],4
269019,1522 The effects of dispersants and dispersed oil on mussels,—,[object Object],11
269021,1523 The Pervasive Invasive: Assessing the Risk of Marine Invasive Species in the Bering Sea,—,[object Object],15
269023,1524 Investigating causes of decline of the Klawock Lake sockeye salmon population,—,[object Object],9
269025,1525 Automated Fish Measuring System,—,[object Object],139
269027,1526 Stock Structure of Aleutian Island Golden King Crab,—,[object Object],7
269029,1527 Environmental DNA (eDNA) analyses as a fisheries survey tool,—,[object Object],70
269031,1528 Assessing reproductive histories using pinniped whiskers,—,[object Object],5
269033,1529 Tracking marine fish with a payload-controlled AUV,—,[object Object],1059
269035,1530 Citizen science OCR,—,[object Object],2
269037,1531 Construction of a fish health and body composition analyzer,—,[object Object],4
269039,1532 Historical data recovery,—,[object Object],4
269041,1533 GOAIERP synthesis,—,[object Object],5
1816098,1601 Extreme Alaska,—,[object Object],83
1816117,1602 Physical drivers influencing net marine community production,—,[object Object],24
1816142,1603 North Pacific Crab Growth,—,[object Object],5
1816156,1604 Improving Aleutian Islands Bathymetry,—,[object Object],8
1816176,"1605 Bering Sea flatfish age, growth, and maturity modeling",—,[object Object],7
1816195,1606 Remote Sensing of Razor Clams,—,[object Object],1016
1816216,1607 Reducing the prohibited species catch of Pacific halibut,—,[object Object],76
1816239,1608 Pribilof Islands blue king crab recruitment limitation,—,[object Object],524
1816257,1609 Qualitative approaches for evaluating blue king crab management,—,[object Object],12
1816283,1610 Bowhead Whale Source Levels,—,[object Object],3
1816303,1611 Fecal hormones in Otariids,—,[object Object],9
1816317,1612 Migration and carry-over effects in Arctic seabirds,—,[object Object],55
1816335,1613 Local and traditional knowledge of Alaska coastal ecosystems,—,[object Object],9
1816353,1614 Iñupiaq Knowledge of Polar Bears in the Southern Beaufort Sea,—,[object Object],21
1816378,1615 Pteropods as indicators in the high latitudinal environment,—,[object Object],8
1816396,1616 Community Based PSP Testing for Shellfish,—,[object Object],36
1816421,1617 CONAS,—,[object Object],3
2509648,1618 Genetic population structure of seaweeds in Alaska,—,—,—
1816443,1618 Genetic population structure of seaweeds in Alaska,—,[object Object],16
1816459,1619 RRS of pink salmon in PWS,—,[object Object],3
1816475,1620 VitaLink: satellite tag data recovery,—,[object Object],2
1816489,1621 Removing invasive Didemnum vexillum,—,[object Object],9
1816511,1622 ADF&G Data Rescue and Dissemination,[object Object],[object Object],112
1803847,Common Murre Mortality Analysis,—,—,—
1800750,Data Archive,—,—,—
2531866,New integrated modeling tools to improve monitoring and demographic analyses,—,—,1
365872,0201 Pilot nearshore habitat mapping using acoustic and visual techniques,—,[object Object],221
367633,0202 Application of new sonar technology to reducing salmon bycatch in pollock fisheries ,—,[object Object],10
370289,0203 Continuation of long-term observations on Bering Sea shelf: biophysical moorings at sites 2 and 4,—,[object Object],27
367646,0204 North Pacific Anadromous Fish Commission Salmon Tagging,—,[object Object],7
368673,0205 Genetic stock identification of western Alaska sockeye salmon,—,[object Object],20
368682,0206 Integration of marine bird and mammal observations with the continuous plankton recorder program,—,[object Object],11
366592,0207 Detecting change in the Bering Sea ecosystem,—,[object Object],350
368695,0208 Environmental cues for herring spawning,—,[object Object],16
367610,0209 Two species of rougheye rockfishes in the northern Gulf of Alaska,—,[object Object],89
367626,0210 Nutritional quality of Alaskan fish for predators,—,[object Object],—
366876,0211 Sinking particles/pelagic food webs in the SE Bering Sea,—,[object Object],7
367581,0301 Evaluation of emergent structure in low-relief benthic habitats as a criterion for defining the essential fish habitat of juvenile North Pacific...,—,[object Object],6
366511,0302 A continuous plankton recorder survey of the North Pacific and southern Bering Sea ,—,[object Object],1
366835,"0303 North Pacific Anadromous Fish Commission Cooperative Research: Use of genetic stock identification to determine the distribution, migration, ear...",—,[object Object],114
367700,0304 Deep sea coral distribution and habitat in the Aleutian Archipelago ,—,[object Object],8
367529,0305 Monitoring and modeling predator-prey relationships ,—,[object Object],89
