id,name,archived,public,files
281460,1212 Movement and wintering areas of Aleutian auklets (Aethia spp.),NA,TRUE,329
372261,1226 Crowdsourcing large-scale environmental data recovery,NA,TRUE,6
281515,1302 Bering-Chukchi transport pathways,NA,TRUE,399
281524,1303 High through-put sequencing of Arctic benthic meiofauna,NA,TRUE,314
281542,1305 Abundance and movement of Steller sea lion groundfish prey,NA,TRUE,11
281551,1306 Connectivity of Prince William Sound Pacific cod to the GOA,NA,TRUE,17
281560,1307 Scallop benthic communities,NA,TRUE,1
281587,1310 LHX2,NA,TRUE,5
281641,1320 Automated image processing of stero images,NA,TRUE,1
281659,1322 Large-scale data recovery for the North Pacific - Arctic,NA,TRUE,4
281668,1323 Graying of the fleet,NA,TRUE,5
281677,1401 Improving stock assessments for rockfishes,NA,TRUE,9
281687,1402 Red king crab larval advection in Bristol Bay,NA,TRUE,103
281696,1403 Environmental effects on gadid eggs an larvae in Alaska,NA,TRUE,11
281705,1404 Skate nursuries as unique habitats in the eastern Bering Sea,NA,TRUE,26
281714,1405 Trophic interactions between jellyfish and fish,NA,TRUE,17
281741,1408 Seabirds and Bering Sea ecological change,NA,TRUE,1
281750,1409 Breeding/non-breeding foraging ecology of red-legged kittiwakes,NA,TRUE,14
281759,1410 Looking into the Bering Sea's past through seabird feathers,NA,TRUE,2
281768,1411 Influenza evolution in synanthropic gulls,NA,TRUE,3
281777,1412 Yukon River patterns and trends,NA,TRUE,15
281786,1413 Value of salmon,NA,TRUE,33
281795,1414 Copper River salmon blitz,NA,TRUE,4
281804,1415 Coastal community ocean observers (C2O2),NA,TRUE,732
281822,1417 Using cell-cycle analysis to measure growth of fish larvae,NA,TRUE,4
281831,1418 LHX2 sensor development,NA,TRUE,2
281840,1419 Framework for mobile development of ZOOVIS and DIDSON,NA,TRUE,92
281849,1420 Rescuing marine mammal specimens at the University of Alaska,NA,TRUE,1
281858,1421 Historical sea ice mapping project,NA,TRUE,3
281867,1422 AYK Chinook salmon egg thiamine exploration,NA,TRUE,2
281876,1423 Defining critical periods for YK Chinook,NA,TRUE,855
281885,1424 Fitness-based habitat models for Chinook salmon,NA,TRUE,25
302403,1425 North Pacific CPR,NA,TRUE,NA
302408,Chukchi Ecosystem Observatory (CEO),NA,TRUE,212338
302413,1427 Seward Line,NA,TRUE,NA
268977,1501 Acoustic assessment of euphausiid ('krill') abundance,NA,TRUE,7
268979,1502 PWS Secondary Production,NA,TRUE,1218
268981,1503 Tracing sea ice algae using IP25,NA,TRUE,19
268983,1504 Chukchi Sea Ice Melt,NA,TRUE,54
268985,1505 Cod size at age,NA,TRUE,6
268987,1506 Crustacean Age Determination,NA,TRUE,6
268989,1507 Combined bottom trawl and acoustic-trawl survey catchability,NA,TRUE,112
268991,1508 Arctic Gadids in a Changing Climate,NA,TRUE,205
268993,1509 Spatial response of northeast Pacific groundfish to anomalous warming in 2015,NA,TRUE,20
268995,1510 Halibut survival for trawlers using alternative handling methods,NA,TRUE,169
268997,1511 Bering Strait marine mammal acoustic monitoring,NA,TRUE,200
268999,1512 Steller sea lion habitat modeling,NA,TRUE,3
269001,1513 Protein and fat dynamics of polar bears,NA,TRUE,5
269003,1514 Genetics of North Pacific bearded seals,NA,TRUE,3
269005,1515 Glider based Arctic marine mammal monitoring,NA,TRUE,4
269007,1516 Abundance of Bristol Bay beluga whales,NA,TRUE,3
269009,1517 New methods for modeling seabird populations,NA,TRUE,22
269011,1518 Effects of salinity on eider ducklings,NA,TRUE,6
269013,1519 Social and ecological resilience in a Gulf of Alaska community,NA,TRUE,39
269015,1520 Adaptation to Environmental Change in Three Aleutian Island Communities,NA,TRUE,210
269017,"1521 Northern Alaska Sea Ice Project Jukebox, Phase II",NA,TRUE,4
269019,1522 The effects of dispersants and dispersed oil on mussels,NA,TRUE,11
269021,1523 The Pervasive Invasive: Assessing the Risk of Marine Invasive Species in the Bering Sea,NA,TRUE,15
269023,1524 Investigating causes of decline of the Klawock Lake sockeye salmon population,NA,TRUE,9
269025,1525 Automated Fish Measuring System,NA,TRUE,139
269027,1526 Stock Structure of Aleutian Island Golden King Crab,NA,TRUE,7
269029,1527 Environmental DNA (eDNA) analyses as a fisheries survey tool,NA,TRUE,70
269031,1528 Assessing reproductive histories using pinniped whiskers,NA,TRUE,5
269033,1529 Tracking marine fish with a payload-controlled AUV,NA,TRUE,1059
269035,1530 Citizen science OCR,NA,TRUE,2
269037,1531 Construction of a fish health and body composition analyzer,NA,TRUE,4
